Circuit delay: 2844.59 picoseconds

Gate slacks:
NAND-P2_U3503: 1968.96 picoseconds
OUTPUT-P2_U3503: 1968.96 picoseconds
NAND-P2_U3504: 1968.96 picoseconds
OUTPUT-P2_U3504: 1968.96 picoseconds
NAND-P2_U3505: 1968.96 picoseconds
OUTPUT-P2_U3505: 1968.96 picoseconds
NAND-P2_U3506: 1924.96 picoseconds
OUTPUT-P2_U3506: 1924.96 picoseconds
NAND-P2_U3507: 1968.96 picoseconds
OUTPUT-P2_U3507: 1968.96 picoseconds
NAND-P2_U3508: 1968.96 picoseconds
OUTPUT-P2_U3508: 1968.96 picoseconds
NAND-P2_U3509: 1968.96 picoseconds
OUTPUT-P2_U3509: 1968.96 picoseconds
NAND-P2_U3510: 1968.96 picoseconds
OUTPUT-P2_U3510: 1968.96 picoseconds
NAND-P2_U3511: 1968.96 picoseconds
OUTPUT-P2_U3511: 1968.96 picoseconds
NAND-P2_U3512: 1968.96 picoseconds
OUTPUT-P2_U3512: 1968.96 picoseconds
NAND-P2_U3513: 1924.96 picoseconds
OUTPUT-P2_U3513: 1924.96 picoseconds
NAND-P2_U3514: 1968.96 picoseconds
OUTPUT-P2_U3514: 1968.96 picoseconds
NAND-P2_U3515: 1968.96 picoseconds
OUTPUT-P2_U3515: 1968.96 picoseconds
NAND-P2_U3516: 1968.96 picoseconds
OUTPUT-P2_U3516: 1968.96 picoseconds
NAND-P2_U3517: 1968.96 picoseconds
OUTPUT-P2_U3517: 1968.96 picoseconds
NAND-P2_U3518: 1952.08 picoseconds
OUTPUT-P2_U3518: 1952.08 picoseconds
NAND-P2_U3519: 1968.96 picoseconds
OUTPUT-P2_U3519: 1968.96 picoseconds
NAND-P2_U3520: 1968.96 picoseconds
OUTPUT-P2_U3520: 1968.96 picoseconds
NAND-P2_U3521: 1968.96 picoseconds
OUTPUT-P2_U3521: 1968.96 picoseconds
NAND-P2_U3522: 1968.96 picoseconds
OUTPUT-P2_U3522: 1968.96 picoseconds
NAND-P2_U3523: 1360.7 picoseconds
NAND-P2_U3524: 1365.3 picoseconds
NAND-P2_U3525: 1365.3 picoseconds
NAND-P2_U3526: 1390.42 picoseconds
NAND-P2_U3527: 1361.62 picoseconds
NAND-P2_U3528: 1396.06 picoseconds
NAND-P2_U3529: 1576.06 picoseconds
NAND-P2_U3530: 1601.64 picoseconds
NAND-P2_U3531: 1447.29 picoseconds
NAND-P2_U3532: 1554.99 picoseconds
NAND-P2_U3533: 1557.5 picoseconds
NAND-P2_U3534: 1551.51 picoseconds
NAND-P2_U3535: 1630.77 picoseconds
NAND-P2_U3536: 1594.13 picoseconds
NAND-P2_U3537: 1594.56 picoseconds
NAND-P2_U3538: 1639.56 picoseconds
NAND-P2_U3539: 1474.03 picoseconds
NAND-P2_U3540: 1512.93 picoseconds
NAND-P2_U3541: 1540.18 picoseconds
NAND-P2_U3542: 1456.8 picoseconds
NAND-P2_U3543: 1510.33 picoseconds
NAND-P2_U3544: 1497.34 picoseconds
NAND-P2_U3545: 1523.74 picoseconds
NAND-P2_U3546: 1609.05 picoseconds
NAND-P2_U3547: 1560.68 picoseconds
NAND-P2_U3548: 1482.41 picoseconds
NAND-P2_U3549: 1428.75 picoseconds
NAND-P2_U3550: 1434.88 picoseconds
NAND-P2_U3551: 1467.83 picoseconds
NAND-P2_U3552: 1308.11 picoseconds
NAND-P2_U3553: 1456.64 picoseconds
NAND-P2_U3554: 1467.61 picoseconds
NAND-P2_U3555: 1998.58 picoseconds
NAND-P2_U3556: 1926.54 picoseconds
NAND-P2_U3557: 1925.14 picoseconds
NAND-P2_U3558: 1824.88 picoseconds
NAND-P2_U3559: 1808.56 picoseconds
NAND-P2_U3560: 1863.4 picoseconds
NAND-P2_U3561: 1791.45 picoseconds
NAND-P2_U3562: 1790.06 picoseconds
NAND-P2_U3563: 2305.16 picoseconds
NAND-P2_U3564: 2279.5 picoseconds
NAND-P2_U3565: 2208.27 picoseconds
NAND-P2_U3566: 2096.93 picoseconds
NAND-P2_U3567: 2080.61 picoseconds
NAND-P2_U3568: 2135.45 picoseconds
NAND-P2_U3569: 2111.3 picoseconds
NAND-P2_U3570: 2071.56 picoseconds
NAND-P2_U3571: 1960.06 picoseconds
NAND-P2_U3572: 1943.74 picoseconds
NAND-P2_U3573: 1762.01 picoseconds
NAND-P2_U3574: 1724.95 picoseconds
AND-P2_U3575: 1443.6 picoseconds
AND-P2_U3576: 1415.88 picoseconds
AND-P2_U3577: 1492.79 picoseconds
AND-P2_U3578: 1606.28 picoseconds
AND-P2_U3579: 1606.28 picoseconds
AND-P2_U3580: 1606.28 picoseconds
AND-P2_U3581: 1625.88 picoseconds
AND-P2_U3582: 1606.28 picoseconds
AND-P2_U3583: 1606.28 picoseconds
AND-P2_U3584: 1606.28 picoseconds
AND-P2_U3585: 1606.28 picoseconds
AND-P2_U3586: 1625.88 picoseconds
AND-P2_U3587: 1606.28 picoseconds
AND-P2_U3588: 1944.01 picoseconds
AND-P2_U3589: 1792.31 picoseconds
AND-P2_U3590: 1322.23 picoseconds
AND-P2_U3591: 1276.65 picoseconds
AND-P2_U3592: 1276.65 picoseconds
AND-P2_U3593: 1398.96 picoseconds
AND-P2_U3594: 1229.51 picoseconds
AND-P2_U3595: 1203.57 picoseconds
AND-P2_U3596: 1203.57 picoseconds
AND-P2_U3597: 1297.76 picoseconds
AND-P2_U3598: 1191.75 picoseconds
AND-P2_U3599: 1176.08 picoseconds
AND-P2_U3600: 1173.04 picoseconds
AND-P2_U3601: 1260.01 picoseconds
AND-P2_U3602: 1140.48 picoseconds
AND-P2_U3603: 1129.05 picoseconds
AND-P2_U3604: 1121.78 picoseconds
AND-P2_U3605: 1208.73 picoseconds
AND-P2_U3606: 1094.69 picoseconds
AND-P2_U3607: 1101.01 picoseconds
AND-P2_U3608: 1075.99 picoseconds
AND-P2_U3609: 1162.94 picoseconds
AND-P2_U3610: 1080.97 picoseconds
AND-P2_U3611: 1067.88 picoseconds
AND-P2_U3612: 1062.27 picoseconds
AND-P2_U3613: 1149.21 picoseconds
AND-P2_U3614: 1056.62 picoseconds
AND-P2_U3615: 1039.54 picoseconds
AND-P2_U3616: 1037.91 picoseconds
AND-P2_U3617: 1124.87 picoseconds
AND-P2_U3618: 990.799 picoseconds
AND-P2_U3619: 990.799 picoseconds
AND-P2_U3620: 1111.08 picoseconds
AND-P2_U3621: 945.105 picoseconds
AND-P2_U3622: 945.105 picoseconds
AND-P2_U3623: 1067.45 picoseconds
AND-P2_U3624: 917.878 picoseconds
AND-P2_U3625: 917.878 picoseconds
AND-P2_U3626: 1021.67 picoseconds
AND-P2_U3627: 945.445 picoseconds
AND-P2_U3628: 908.812 picoseconds
AND-P2_U3629: 1007.94 picoseconds
AND-P2_U3630: 957.567 picoseconds
AND-P2_U3631: 911.982 picoseconds
AND-P2_U3632: 911.982 picoseconds
AND-P2_U3633: 1033.61 picoseconds
AND-P2_U3634: 930.34 picoseconds
AND-P2_U3635: 884.755 picoseconds
AND-P2_U3636: 884.755 picoseconds
AND-P2_U3637: 1024.28 picoseconds
AND-P2_U3638: 905.739 picoseconds
AND-P2_U3639: 879.745 picoseconds
AND-P2_U3640: 978.871 picoseconds
AND-P2_U3641: 866.046 picoseconds
AND-P2_U3642: 834.049 picoseconds
AND-P2_U3643: 933.185 picoseconds
AND-P2_U3644: 814.534 picoseconds
AND-P2_U3645: 814.534 picoseconds
AND-P2_U3646: 919.454 picoseconds
AND-P2_U3647: 845.129 picoseconds
AND-P2_U3648: 799.544 picoseconds
AND-P2_U3649: 799.544 picoseconds
AND-P2_U3650: 939.215 picoseconds
AND-P2_U3651: 825.621 picoseconds
AND-P2_U3652: 787.566 picoseconds
AND-P2_U3653: 787.566 picoseconds
AND-P2_U3654: 893.861 picoseconds
AND-P2_U3655: 771.055 picoseconds
AND-P2_U3656: 736.055 picoseconds
AND-P2_U3657: 736.055 picoseconds
AND-P2_U3658: 839.297 picoseconds
AND-P2_U3659: 731.239 picoseconds
AND-P2_U3660: 708.832 picoseconds
AND-P2_U3661: 708.832 picoseconds
AND-P2_U3662: 799.476 picoseconds
AND-P2_U3663: 694.284 picoseconds
AND-P2_U3664: 654.945 picoseconds
AND-P2_U3665: 754.071 picoseconds
AND-P2_U3666: 696.915 picoseconds
AND-P2_U3667: 609.248 picoseconds
AND-P2_U3668: 708.384 picoseconds
AND-P2_U3669: 648.229 picoseconds
AND-P2_U3670: 595.529 picoseconds
AND-P2_U3671: 694.654 picoseconds
AND-P2_U3672: 637.629 picoseconds
AND-P2_U3673: 618.778 picoseconds
AND-P2_U3674: 618.778 picoseconds
AND-P2_U3675: 705.866 picoseconds
AND-P2_U3676: 597.935 picoseconds
AND-P2_U3677: 572.988 picoseconds
AND-P2_U3678: 572.988 picoseconds
AND-P2_U3679: 666.173 picoseconds
AND-P2_U3680: 540.714 picoseconds
AND-P2_U3681: 538.343 picoseconds
AND-P2_U3682: 522.004 picoseconds
AND-P2_U3683: 608.967 picoseconds
AND-P2_U3684: 526.991 picoseconds
AND-P2_U3685: 508.699 picoseconds
AND-P2_U3686: 508.285 picoseconds
AND-P2_U3687: 595.23 picoseconds
AND-P2_U3688: 501.392 picoseconds
AND-P2_U3689: 470.962 picoseconds
AND-P2_U3690: 470.962 picoseconds
AND-P2_U3691: 569.627 picoseconds
AND-P2_U3692: 430.81 picoseconds
AND-P2_U3693: 461.523 picoseconds
AND-P2_U3694: 461.523 picoseconds
AND-P2_U3695: 529.364 picoseconds
AND-P2_U3696: 1696.02 picoseconds
AND-P2_U3697: 1701.83 picoseconds
AND-P2_U3698: 2385.76 picoseconds
AND-P2_U3699: 1780.62 picoseconds
AND-P2_U3700: 1950.37 picoseconds
AND-P2_U3701: 2318.76 picoseconds
AND-P2_U3702: 2242.67 picoseconds
AND-P2_U3703: 2323.46 picoseconds
AND-P2_U3704: 1724.95 picoseconds
AND-P2_U3705: 1978.86 picoseconds
AND-P2_U3706: 1920.42 picoseconds
AND-P2_U3707: 1780.62 picoseconds
AND-P2_U3708: 1978.77 picoseconds
AND-P2_U3709: 1934.06 picoseconds
AND-P2_U3710: 1780.62 picoseconds
AND-P2_U3711: 1978.7 picoseconds
AND-P2_U3712: 1950.37 picoseconds
AND-P2_U3713: 1780.62 picoseconds
AND-P2_U3714: 1978.7 picoseconds
AND-P2_U3715: 1950.37 picoseconds
AND-P2_U3716: 1780.62 picoseconds
AND-P2_U3717: 1978.7 picoseconds
AND-P2_U3718: 1950.37 picoseconds
AND-P2_U3719: 1780.62 picoseconds
AND-P2_U3720: 1978.7 picoseconds
AND-P2_U3721: 1950.37 picoseconds
AND-P2_U3722: 1780.62 picoseconds
AND-P2_U3723: 1978.7 picoseconds
AND-P2_U3724: 1950.37 picoseconds
AND-P2_U3725: 1780.62 picoseconds
AND-P2_U3726: 1978.7 picoseconds
AND-P2_U3727: 1950.37 picoseconds
AND-P2_U3728: 1780.62 picoseconds
AND-P2_U3729: 1978.7 picoseconds
AND-P2_U3730: 1950.37 picoseconds
AND-P2_U3731: 1780.62 picoseconds
AND-P2_U3732: 1978.7 picoseconds
AND-P2_U3733: 1950.37 picoseconds
AND-P2_U3734: 1780.62 picoseconds
AND-P2_U3735: 1978.7 picoseconds
AND-P2_U3736: 1950.37 picoseconds
AND-P2_U3737: 1805.27 picoseconds
AND-P2_U3738: 1977.18 picoseconds
AND-P2_U3739: 2007.84 picoseconds
AND-P2_U3740: 1805.27 picoseconds
AND-P2_U3741: 1977.18 picoseconds
AND-P2_U3742: 2007.84 picoseconds
AND-P2_U3743: 1785.24 picoseconds
AND-P2_U3744: 1980.95 picoseconds
AND-P2_U3745: 1952.62 picoseconds
AND-P2_U3746: 1791.94 picoseconds
AND-P2_U3747: 2012.17 picoseconds
AND-P2_U3748: 1983.85 picoseconds
AND-P2_U3749: 1785.24 picoseconds
AND-P2_U3750: 1980.95 picoseconds
AND-P2_U3751: 1952.62 picoseconds
AND-P2_U3752: 1785.24 picoseconds
AND-P2_U3753: 1980.95 picoseconds
AND-P2_U3754: 1952.62 picoseconds
AND-P2_U3755: 1780.62 picoseconds
AND-P2_U3756: 1978.7 picoseconds
AND-P2_U3757: 1950.37 picoseconds
AND-P2_U3758: 1780.62 picoseconds
AND-P2_U3759: 1978.7 picoseconds
AND-P2_U3760: 1950.37 picoseconds
AND-P2_U3761: 1780.62 picoseconds
AND-P2_U3762: 1978.7 picoseconds
AND-P2_U3763: 1950.37 picoseconds
AND-P2_U3764: 2302.42 picoseconds
NAND-P2_U3765: 2539.5 picoseconds
AND-P2_U3766: 1052.31 picoseconds
AND-P2_U3767: 940.18 picoseconds
AND-P2_U3768: 988.646 picoseconds
AND-P2_U3769: 1278.57 picoseconds
AND-P2_U3770: 994.899 picoseconds
AND-P2_U3771: 899.182 picoseconds
AND-P2_U3772: 899.182 picoseconds
AND-P2_U3773: 1043.64 picoseconds
AND-P2_U3774: 818.762 picoseconds
AND-P2_U3775: 587.827 picoseconds
AND-P2_U3776: 508.177 picoseconds
AND-P2_U3777: 508.177 picoseconds
AND-P2_U3778: 587.827 picoseconds
AND-P2_U3779: 371.513 picoseconds
AND-P2_U3780: 390.942 picoseconds
AND-P2_U3781: 2107.23 picoseconds
AND-P2_U3782: 1825.85 picoseconds
AND-P2_U3783: 1825.85 picoseconds
AND-P2_U3784: 1825.85 picoseconds
AND-P2_U3785: 1825.85 picoseconds
AND-P2_U3786: 1308.65 picoseconds
AND-P2_U3787: 1839.17 picoseconds
AND-P2_U3788: 1805.84 picoseconds
AND-P2_U3789: 1825.85 picoseconds
AND-P2_U3790: 1825.85 picoseconds
AND-P2_U3791: 1825.85 picoseconds
AND-P2_U3792: 1988.97 picoseconds
AND-P2_U3793: 1578.59 picoseconds
AND-P2_U3794: 1457.16 picoseconds
AND-P2_U3795: 1825.85 picoseconds
AND-P2_U3796: 1220.64 picoseconds
AND-P2_U3797: 1839.17 picoseconds
AND-P2_U3798: 1825.85 picoseconds
AND-P2_U3799: 1825.85 picoseconds
AND-P2_U3800: 1825.85 picoseconds
AND-P2_U3801: 1825.85 picoseconds
AND-P2_U3802: 1825.85 picoseconds
AND-P2_U3803: 1825.85 picoseconds
AND-P2_U3804: 1825.85 picoseconds
AND-P2_U3805: 1398.36 picoseconds
AND-P2_U3806: 1839.17 picoseconds
AND-P2_U3807: 1825.85 picoseconds
AND-P2_U3808: 1825.85 picoseconds
AND-P2_U3809: 1825.85 picoseconds
AND-P2_U3810: 1234.42 picoseconds
AND-P2_U3811: 1839.17 picoseconds
AND-P2_U3812: 1825.85 picoseconds
AND-P2_U3813: 1825.85 picoseconds
AND-P2_U3814: 1825.85 picoseconds
AND-P2_U3815: 1825.85 picoseconds
AND-P2_U3816: 1825.85 picoseconds
AND-P2_U3817: 2247.65 picoseconds
AND-P2_U3818: 2068.33 picoseconds
AND-P2_U3819: 1573.32 picoseconds
AND-P2_U3820: 1554.71 picoseconds
AND-P2_U3821: 1542.89 picoseconds
AND-P2_U3822: 822.055 picoseconds
AND-P2_U3823: 872.091 picoseconds
AND-P2_U3824: 892.842 picoseconds
AND-P2_U3825: 1026.76 picoseconds
AND-P2_U3826: 1082.84 picoseconds
NOT-P2_U3827: 1132.88 picoseconds
NAND-P2_U3828: 2147.94 picoseconds
NAND-P2_U3829: 975.824 picoseconds
NAND-P2_U3830: 1951.98 picoseconds
NAND-P2_U3831: 1704.7 picoseconds
NAND-P2_U3832: 1867.91 picoseconds
AND-P2_U3833: 1415.88 picoseconds
AND-P2_U3834: 1276.65 picoseconds
AND-P2_U3835: 1203.57 picoseconds
AND-P2_U3836: 1173.04 picoseconds
AND-P2_U3837: 1121.78 picoseconds
AND-P2_U3838: 1075.99 picoseconds
AND-P2_U3839: 1062.27 picoseconds
AND-P2_U3840: 1037.91 picoseconds
AND-P2_U3841: 990.799 picoseconds
AND-P2_U3842: 945.105 picoseconds
AND-P2_U3843: 917.878 picoseconds
AND-P2_U3844: 908.812 picoseconds
AND-P2_U3845: 911.982 picoseconds
AND-P2_U3846: 884.755 picoseconds
AND-P2_U3847: 879.745 picoseconds
AND-P2_U3848: 834.049 picoseconds
AND-P2_U3849: 814.534 picoseconds
AND-P2_U3850: 799.544 picoseconds
AND-P2_U3851: 787.566 picoseconds
AND-P2_U3852: 736.055 picoseconds
AND-P2_U3853: 708.832 picoseconds
AND-P2_U3854: 654.945 picoseconds
AND-P2_U3855: 609.248 picoseconds
AND-P2_U3856: 595.529 picoseconds
AND-P2_U3857: 618.778 picoseconds
AND-P2_U3858: 572.988 picoseconds
AND-P2_U3859: 522.004 picoseconds
AND-P2_U3860: 508.285 picoseconds
AND-P2_U3861: 470.962 picoseconds
AND-P2_U3862: 430.81 picoseconds
NOT-P2_U3863: 371.513 picoseconds
NAND-P2_U3864: 508.177 picoseconds
NOT-P2_U3865: 421.692 picoseconds
AND-P2_U3866: 421.692 picoseconds
NOT-P2_U3867: 1343.39 picoseconds
NOT-P2_U3868: 478.336 picoseconds
NOT-P2_U3869: 532.311 picoseconds
NOT-P2_U3870: 2234.12 picoseconds
NAND-P2_U3871: 1616.77 picoseconds
NOT-P2_U3872: 2201.32 picoseconds
NAND-P2_U3873: 1555.09 picoseconds
NOT-P2_U3874: 1876 picoseconds
NOT-P2_U3875: 1966.32 picoseconds
NAND-P2_U3876: 1666.81 picoseconds
NOT-P2_U3877: 2298.29 picoseconds
NOT-P2_U3878: 1875.84 picoseconds
NOT-P2_U3879: 2329.46 picoseconds
NOT-P2_U3880: 2267.77 picoseconds
NOT-P2_U3881: 2332.95 picoseconds
NOT-P2_U3882: 2349.68 picoseconds
NOT-P2_U3883: 2213.11 picoseconds
NAND-P2_U3884: 1876 picoseconds
NOT-P2_U3885: 2351.31 picoseconds
NOT-P2_U3886: 2255.47 picoseconds
NOT-P2_U3887: 2249.68 picoseconds
NOT-P2_U3888: 2354.24 picoseconds
NOT-P2_U3889: 975.824 picoseconds
NOT-P2_U3890: 1842.56 picoseconds
NOT-P2_U3891: 1704.7 picoseconds
NAND-P2_U3892: 2225.85 picoseconds
NOT-P2_U3893: 1780.62 picoseconds
OUTPUT-P2_U3893: 1780.62 picoseconds
NOT-P2_U3894: 2236.2 picoseconds
NOT-P2_U3895: 371.513 picoseconds
NOT-P2_U3896: 422.5 picoseconds
NOT-P2_U3897: 455.591 picoseconds
NOT-P2_U3898: 483.147 picoseconds
NOT-P2_U3899: 554.485 picoseconds
NOT-P2_U3900: 488.814 picoseconds
NOT-P2_U3901: 545.712 picoseconds
NOT-P2_U3902: 533.912 picoseconds
NOT-P2_U3903: 548.163 picoseconds
NOT-P2_U3904: 436.142 picoseconds
NOT-P2_U3905: 2334.54 picoseconds
NOT-P2_U3906: 2088.17 picoseconds
NOT-P2_U3907: 2280.02 picoseconds
NOT-P2_U3908: 1606.28 picoseconds
NOT-P2_U3909: 1867.91 picoseconds
NOT-P2_U3910: 1704.7 picoseconds
NOT-P2_U3911: 2147.94 picoseconds
NOT-P2_U3912: 2127.69 picoseconds
NAND-P2_U3913: 1911.19 picoseconds
NAND-P2_U3914: 2088.49 picoseconds
NOT-P2_U3915: 1174.99 picoseconds
NOT-P2_U3916: 2385.76 picoseconds
NOT-P2_U3917: 2717.31 picoseconds
NAND-P2_U3918: 1805.54 picoseconds
NAND-P2_U3919: 2701.65 picoseconds
NAND-P2_U3920: 2717.31 picoseconds
NAND-P2_U3921: 1737.91 picoseconds
NAND-P2_U3922: 2701.65 picoseconds
NAND-P2_U3923: 2717.31 picoseconds
NAND-P2_U3924: 1717.85 picoseconds
NAND-P2_U3925: 2701.65 picoseconds
NAND-P2_U3926: 2717.31 picoseconds
NAND-P2_U3927: 1716.34 picoseconds
NAND-P2_U3928: 2701.65 picoseconds
NAND-P2_U3929: 2717.31 picoseconds
NAND-P2_U3930: 1669.7 picoseconds
NAND-P2_U3931: 2701.65 picoseconds
NAND-P2_U3932: 2717.31 picoseconds
NAND-P2_U3933: 1635.81 picoseconds
NAND-P2_U3934: 2701.65 picoseconds
NAND-P2_U3935: 2717.31 picoseconds
NAND-P2_U3936: 1635.81 picoseconds
NAND-P2_U3937: 2701.65 picoseconds
NAND-P2_U3938: 2717.31 picoseconds
NAND-P2_U3939: 1613.64 picoseconds
NAND-P2_U3940: 2701.65 picoseconds
NAND-P2_U3941: 2717.31 picoseconds
NAND-P2_U3942: 1579.62 picoseconds
NAND-P2_U3943: 2701.65 picoseconds
NAND-P2_U3944: 2717.31 picoseconds
NAND-P2_U3945: 1579.62 picoseconds
NAND-P2_U3946: 2701.65 picoseconds
NAND-P2_U3947: 2717.31 picoseconds
NAND-P2_U3948: 1579.62 picoseconds
NAND-P2_U3949: 2701.65 picoseconds
NAND-P2_U3950: 2717.31 picoseconds
NAND-P2_U3951: 1557.5 picoseconds
NAND-P2_U3952: 2701.65 picoseconds
NAND-P2_U3953: 2717.31 picoseconds
NAND-P2_U3954: 1523.48 picoseconds
NAND-P2_U3955: 2701.65 picoseconds
NAND-P2_U3956: 2717.31 picoseconds
NAND-P2_U3957: 1523.48 picoseconds
NAND-P2_U3958: 2701.65 picoseconds
NAND-P2_U3959: 2717.31 picoseconds
NAND-P2_U3960: 1523.48 picoseconds
NAND-P2_U3961: 2701.65 picoseconds
NAND-P2_U3962: 2717.31 picoseconds
NAND-P2_U3963: 1517.6 picoseconds
NAND-P2_U3964: 2701.65 picoseconds
NAND-P2_U3965: 2717.31 picoseconds
NAND-P2_U3966: 1477.9 picoseconds
NAND-P2_U3967: 2701.65 picoseconds
NAND-P2_U3968: 2717.31 picoseconds
NAND-P2_U3969: 1438.21 picoseconds
NAND-P2_U3970: 2701.65 picoseconds
NAND-P2_U3971: 2717.31 picoseconds
NAND-P2_U3972: 1398.52 picoseconds
NAND-P2_U3973: 2701.65 picoseconds
NAND-P2_U3974: 2717.31 picoseconds
NAND-P2_U3975: 1358.83 picoseconds
NAND-P2_U3976: 2701.65 picoseconds
NAND-P2_U3977: 2717.31 picoseconds
NAND-P2_U3978: 1319.13 picoseconds
NAND-P2_U3979: 2701.65 picoseconds
NAND-P2_U3980: 2717.31 picoseconds
NAND-P2_U3981: 1279.44 picoseconds
NAND-P2_U3982: 2701.65 picoseconds
NAND-P2_U3983: 2717.31 picoseconds
NAND-P2_U3984: 1239.75 picoseconds
NAND-P2_U3985: 2701.65 picoseconds
NAND-P2_U3986: 2717.31 picoseconds
NAND-P2_U3987: 1200.06 picoseconds
NAND-P2_U3988: 2701.65 picoseconds
NAND-P2_U3989: 2717.31 picoseconds
NAND-P2_U3990: 1160.36 picoseconds
NAND-P2_U3991: 2701.65 picoseconds
NAND-P2_U3992: 2717.31 picoseconds
NAND-P2_U3993: 1120.67 picoseconds
NAND-P2_U3994: 2701.65 picoseconds
NAND-P2_U3995: 2717.31 picoseconds
NAND-P2_U3996: 1080.98 picoseconds
NAND-P2_U3997: 2701.65 picoseconds
NAND-P2_U3998: 2717.31 picoseconds
NAND-P2_U3999: 1041.28 picoseconds
NAND-P2_U4000: 2701.65 picoseconds
NAND-P2_U4001: 2717.31 picoseconds
NAND-P2_U4002: 1001.59 picoseconds
NAND-P2_U4003: 2701.65 picoseconds
NAND-P2_U4004: 2717.31 picoseconds
NAND-P2_U4005: 961.899 picoseconds
NAND-P2_U4006: 2701.65 picoseconds
NAND-P2_U4007: 2717.31 picoseconds
NAND-P2_U4008: 916.593 picoseconds
NAND-P2_U4009: 2713.32 picoseconds
NAND-P2_U4010: 2717.31 picoseconds
NAND-P2_U4011: 912.859 picoseconds
NAND-P2_U4012: 2701.65 picoseconds
NAND-P2_U4013: 2717.31 picoseconds
NAND-P2_U4014: 1137.4 picoseconds
NOT-P2_U4015: 1137.4 picoseconds
NAND-P2_U4016: 2683.67 picoseconds
NAND-P2_U4017: 1942.04 picoseconds
NAND-P2_U4018: 1606.28 picoseconds
NAND-P2_U4019: 1606.28 picoseconds
NAND-P2_U4020: 1606.28 picoseconds
NAND-P2_U4021: 1606.28 picoseconds
NAND-P2_U4022: 1606.28 picoseconds
NAND-P2_U4023: 1606.28 picoseconds
NAND-P2_U4024: 1606.28 picoseconds
NAND-P2_U4025: 1606.28 picoseconds
NAND-P2_U4026: 1606.28 picoseconds
NAND-P2_U4027: 1606.28 picoseconds
NAND-P2_U4028: 1606.28 picoseconds
NAND-P2_U4029: 1606.28 picoseconds
NAND-P2_U4030: 1625.88 picoseconds
NAND-P2_U4031: 1625.88 picoseconds
NAND-P2_U4032: 1625.88 picoseconds
NAND-P2_U4033: 1606.28 picoseconds
NAND-P2_U4034: 1606.28 picoseconds
NAND-P2_U4035: 1606.28 picoseconds
NAND-P2_U4036: 1606.28 picoseconds
NAND-P2_U4037: 1606.28 picoseconds
NAND-P2_U4038: 1606.28 picoseconds
NAND-P2_U4039: 1606.28 picoseconds
NAND-P2_U4040: 1606.28 picoseconds
NAND-P2_U4041: 1606.28 picoseconds
NAND-P2_U4042: 1606.28 picoseconds
NAND-P2_U4043: 1606.28 picoseconds
NAND-P2_U4044: 1606.28 picoseconds
NAND-P2_U4045: 1625.88 picoseconds
NAND-P2_U4046: 1625.88 picoseconds
NAND-P2_U4047: 1625.88 picoseconds
NOT-P2_U4048: 2178.35 picoseconds
NAND-P2_U4049: 2231.42 picoseconds
NAND-P2_U4050: 2178.35 picoseconds
NAND-P2_U4051: 2142.11 picoseconds
NAND-P2_U4052: 1842.56 picoseconds
NAND-P2_U4053: 1704.7 picoseconds
NAND-P2_U4054: 1704.7 picoseconds
NAND-P2_U4055: 1182.66 picoseconds
NAND-P2_U4056: 1182.66 picoseconds
NAND-P2_U4057: 1195.58 picoseconds
NAND-P2_U4058: 1195.58 picoseconds
NOT-P2_U4059: 1748.3 picoseconds
NAND-P2_U4060: 2342.79 picoseconds
NAND-P2_U4061: 1443.6 picoseconds
NAND-P2_U4062: 1443.6 picoseconds
NAND-P2_U4063: 1415.88 picoseconds
NAND-P2_U4064: 1443.6 picoseconds
NAND-P2_U4065: 1470.91 picoseconds
NAND-P2_U4066: 1442.1 picoseconds
NAND-P2_U4067: 1442.1 picoseconds
NOT-P2_U4068: 1451.28 picoseconds
NAND-P2_U4069: 1868.91 picoseconds
NAND-P2_U4070: 1492.79 picoseconds
NAND-P2_U4071: 1983.57 picoseconds
NAND-P2_U4072: 1568.87 picoseconds
NAND-P2_U4073: 1451.28 picoseconds
NAND-P2_U4074: 1087.82 picoseconds
NAND-P2_U4075: 1087.82 picoseconds
NAND-P2_U4076: 1100.75 picoseconds
NAND-P2_U4077: 1100.75 picoseconds
NOT-P2_U4078: 1648.86 picoseconds
NAND-P2_U4079: 1208.86 picoseconds
NAND-P2_U4080: 1208.86 picoseconds
NAND-P2_U4081: 1221.78 picoseconds
NAND-P2_U4082: 1221.78 picoseconds
NOT-P2_U4083: 1811.84 picoseconds
NAND-P2_U4084: 2093.31 picoseconds
NAND-P2_U4085: 2093.31 picoseconds
NAND-P2_U4086: 1981.25 picoseconds
NAND-P2_U4087: 1349.57 picoseconds
NAND-P2_U4088: 1322.23 picoseconds
NAND-P2_U4089: 1330.73 picoseconds
NAND-P2_U4090: 1276.65 picoseconds
NAND-P2_U4091: 1276.65 picoseconds
NAND-P2_U4092: 1312.02 picoseconds
NAND-P2_U4093: 1312.02 picoseconds
NOT-P2_U4094: 1312.28 picoseconds
NAND-P2_U4095: 1398.96 picoseconds
NAND-P2_U4096: 1901.36 picoseconds
NAND-P2_U4097: 1510.67 picoseconds
NAND-P2_U4098: 1312.28 picoseconds
NAND-P2_U4099: 1033.41 picoseconds
NAND-P2_U4100: 1033.41 picoseconds
NAND-P2_U4101: 1046.33 picoseconds
NAND-P2_U4102: 1046.33 picoseconds
NOT-P2_U4103: 1644.52 picoseconds
